#R	NextCycle	NE(tau)	NEfresh(tau)	NI(tau)	NIfresh(tau)
104	1	16	16	3	2
105	1	14	13	3	1
106	0	7	7	2	2
107	1	71	65	11	11
108	1	58	53	16	15
109	1	303	291	75	70
110	1	36	35	11	10
111	1	17	17	2	1
112	0	8	7	1	0
113	0	0	0	0	0
114	0	8	7	1	1
115	0	0	0	0	0
116	0	9	9	2	2
117	1	97	85	36	33
118	1	26	23	9	8
119	1	85	80	13	13
120	0	3	2	3	2
121	0	7	6	1	1
122	0	9	9	1	1
123	1	36	35	11	11
124	0	9	9	5	3
125	0	1	1	0	0
126	1	29	29	9	9
127	1	24	22	6	5
128	1	52	51	12	12
129	1	18	18	3	2
130	0	3	2	3	3
131	1	21	18	9	9
132	1	155	135	50	37
133	1	17	17	2	2
134	0	4	4	3	3
135	0	5	5	0	0
136	1	9	9	1	1
137	1	90	87	20	20
138	1	49	46	8	8
139	1	16	16	3	2
140	1	47	45	12	12
141	0	1	0	0	0
142	0	0	0	0	0
143	1	7	7	3	2
144	0	3	3	1	1
145	1	764	726	175	173
146	1	169	159	44	42
147	1	20	18	1	1
148	1	83	80	36	34
149	0	9	9	7	6
150	0	6	6	0	0
151	1	23	21	5	5
152	0	8	8	4	3
153	0	1	1	0	0
154	1	57	55	9	9
155	1	50	47	7	7
